id,is_active,type,title,description,tag,tag_int,rating,location,dob,email,metadata
44,1,7,Sample Title 43,This is a sample description for item 43.,"{tag2,tag8}","{8,18}",3.5,POINT(80.11147784942239 2.1240648132684186),1999-05-08,user43@example.com,"{""key"": ""value43"", ""priority"": ""high""}"
45,1,3,Sample Title 44,This is a sample description for item 44.,"{tag2,tag7}","{1,19}",4.5,POINT(158.23302609374883 22.885279263869933),1979-05-26,user44@example.com,"{""key"": ""value44"", ""priority"": ""low""}"
46,0,3,Sample Title 45,This is a sample description for item 45.,"{tag1,tag7}","{10,18}",2.8,POINT(98.62724860575099 53.27233845892491),1995-08-15,user45@example.com,"{""key"": ""value45"", ""priority"": ""low""}"
47,1,5,Sample Title 46,This is a sample description for item 46.,"{tag5,tag8}","{7,20}",1.1,POINT(-29.8407580171519 5.268437918754401),1999-08-17,user46@example.com,"{""key"": ""value46"", ""priority"": ""high""}"
48,0,9,Sample Title 47,This is a sample description for item 47.,"{tag5,tag7}","{10,19}",4.8,POINT(-117.20772006818454 -25.002702763984743),1996-10-09,user47@example.com,"{""key"": ""value47"", ""priority"": ""high""}"
49,1,6,Sample Title 48,This is a sample description for item 48.,"{tag3,tag7}","{7,19}",4.9,POINT(-61.670406874659776 -9.145627074473424),2006-03-31,user48@example.com,"{""key"": ""value48"", ""priority"": ""high""}"
50,0,9,Sample Title 49,This is a sample description for item 49.,"{tag2,tag9}","{1,14}",2.0,POINT(-117.42866518250031 -63.152872081760876),1984-02-08,user49@example.com,"{""key"": ""value49"", ""priority"": ""low""}"
51,1,8,Sample Title 50,This is a sample description for item 50.,"{tag3,tag7}","{9,20}",1.0,POINT(8.91627061899652 -15.745874016626999),1992-01-12,user50@example.com,"{""key"": ""value50"", ""priority"": ""low""}"
52,1,4,Sample Title 51,This is a sample description for item 51.,"{tag5,tag10}","{10,11}",3.0,POINT(7.731884265739353 0.9032839624811686),1990-03-06,user51@example.com,"{""key"": ""value51"", ""priority"": ""high""}"
53,0,6,Sample Title 52,This is a sample description for item 52.,"{tag1,tag10}","{9,14}",4.6,POINT(13.099390473957214 15.056023536816113),2002-03-29,user52@example.com,"{""key"": ""value52"", ""priority"": ""low""}"
54,1,9,Sample Title 53,This is a sample description for item 53.,"{tag1,tag7}","{8,18}",1.1,POINT(48.913596658036624 -23.720179221859055),2003-02-07,user53@example.com,"{""key"": ""value53"", ""priority"": ""low""}"
55,0,10,Sample Title 54,This is a sample description for item 54.,"{tag1,tag9}","{9,19}",2.9,POINT(-56.54470028906839 5.560632929375728),2004-12-30,user54@example.com,"{""key"": ""value54"", ""priority"": ""high""}"
56,0,5,Sample Title 55,This is a sample description for item 55.,"{tag2,tag10}","{8,19}",4.6,POINT(-67.86783778991376 24.120119012376648),1982-02-08,user55@example.com,"{""key"": ""value55"", ""priority"": ""low""}"
57,0,9,Sample Title 56,This is a sample description for item 56.,"{tag3,tag10}","{3,15}",3.1,POINT(154.73622704962617 -32.875564816397215),1997-07-18,user56@example.com,"{""key"": ""value56"", ""priority"": ""high""}"
58,1,5,Sample Title 57,This is a sample description for item 57.,"{tag3,tag8}","{4,14}",4.9,POINT(68.33670409962943 61.46655178738777),1999-11-22,user57@example.com,"{""key"": ""value57"", ""priority"": ""low""}"
59,0,1,Sample Title 58,This is a sample description for item 58.,"{tag4,tag7}","{4,16}",2.4,POINT(-45.392894101453436 89.27732402102748),1979-07-01,user58@example.com,"{""key"": ""value58"", ""priority"": ""low""}"
60,1,10,Sample Title 59,This is a sample description for item 59.,"{tag4,tag7}","{2,17}",1.5,POINT(115.11805868246535 -56.80419257855418),1998-12-12,user59@example.com,"{""key"": ""value59"", ""priority"": ""high""}"
61,1,1,Sample Title 60,This is a sample description for item 60.,"{tag4,tag9}","{7,14}",2.5,POINT(173.29601256236077 -32.52619148536298),1998-02-15,user60@example.com,"{""key"": ""value60"", ""priority"": ""low""}"
62,1,8,Sample Title 61,This is a sample description for item 61.,"{tag4,tag8}","{7,18}",4.0,POINT(-162.80853210704873 -17.18478633173015),1988-06-13,user61@example.com,"{""key"": ""value61"", ""priority"": ""low""}"
63,1,9,Sample Title 62,This is a sample description for item 62.,"{tag2,tag6}","{8,15}",3.2,POINT(40.36428141325038 55.40852182184136),2003-08-25,user62@example.com,"{""key"": ""value62"", ""priority"": ""high""}"
64,1,5,Sample Title 63,This is a sample description for item 63.,"{tag2,tag7}","{7,14}",2.9,POINT(-122.96299214926877 45.40732393097244),1989-12-29,user63@example.com,"{""key"": ""value63"", ""priority"": ""high""}"
65,0,10,Sample Title 64,This is a sample description for item 64.,"{tag1,tag6}","{9,19}",4.8,POINT(5.229700133781762 32.31390214406575),2005-12-06,user64@example.com,"{""key"": ""value64"", ""priority"": ""low""}"
66,1,6,Sample Title 65,This is a sample description for item 65.,"{tag5,tag9}","{6,14}",1.1,POINT(-153.73097968075237 72.4504766149648),1987-03-28,user65@example.com,"{""key"": ""value65"", ""priority"": ""high""}"
67,1,4,Sample Title 66,This is a sample description for item 66.,"{tag1,tag6}","{7,11}",2.5,POINT(110.37342187159896 71.55276165575722),1989-11-05,user66@example.com,"{""key"": ""value66"", ""priority"": ""low""}"
68,0,2,Sample Title 67,This is a sample description for item 67.,"{tag2,tag9}","{4,12}",3.8,POINT(53.87253574812314 28.960165246270805),2005-06-23,user67@example.com,"{""key"": ""value67"", ""priority"": ""low""}"
69,0,2,Sample Title 68,This is a sample description for item 68.,"{tag5,tag8}","{2,19}",2.2,POINT(-11.684435954320406 -60.97550745500294),1998-07-04,user68@example.com,"{""key"": ""value68"", ""priority"": ""low""}"
70,1,1,Sample Title 69,This is a sample description for item 69.,"{tag4,tag10}","{2,11}",1.7,POINT(-49.160061966170986 79.22796130772741),1998-06-11,user69@example.com,"{""key"": ""value69"", ""priority"": ""high""}"
71,1,7,Sample Title 70,This is a sample description for item 70.,"{tag2,tag7}","{3,18}",4.5,POINT(130.38699107645067 65.14468722721492),2002-03-26,user70@example.com,"{""key"": ""value70"", ""priority"": ""low""}"
72,0,4,Sample Title 71,This is a sample description for item 71.,"{tag2,tag9}","{4,18}",1.1,POINT(58.41321983992 -80.99578234597583),1996-05-25,user71@example.com,"{""key"": ""value71"", ""priority"": ""high""}"
73,0,8,Sample Title 72,This is a sample description for item 72.,"{tag3,tag6}","{3,14}",1.2,POINT(-52.6429622723314 -59.91238551094763),2002-11-19,user72@example.com,"{""key"": ""value72"", ""priority"": ""low""}"
74,1,3,Sample Title 73,This is a sample description for item 73.,"{tag1,tag10}","{9,19}",3.2,POINT(-61.35502588121621 82.84056048037033),2006-02-26,user73@example.com,"{""key"": ""value73"", ""priority"": ""high""}"
75,0,7,Sample Title 74,This is a sample description for item 74.,"{tag4,tag6}","{1,13}",2.2,POINT(147.8231822139826 -19.23815134880242),2003-03-28,user74@example.com,"{""key"": ""value74"", ""priority"": ""low""}"
76,1,1,Sample Title 75,This is a sample description for item 75.,"{tag1,tag6}","{6,14}",3.4,POINT(-42.527401669026546 87.85475489447211),1980-04-06,user75@example.com,"{""key"": ""value75"", ""priority"": ""high""}"
77,1,2,Sample Title 76,This is a sample description for item 76.,"{tag1,tag8}","{1,12}",2.5,POINT(-148.22496237210987 -47.483601308129806),2002-07-03,user76@example.com,"{""key"": ""value76"", ""priority"": ""high""}"
78,1,8,Sample Title 77,This is a sample description for item 77.,"{tag2,tag6}","{4,12}",2.5,POINT(-10.339585233996218 27.4461520955049),1993-07-21,user77@example.com,"{""key"": ""value77"", ""priority"": ""high""}"
79,1,6,Sample Title 78,This is a sample description for item 78.,"{tag1,tag10}","{3,13}",3.8,POINT(-166.10157688624872 -80.73623649051254),1980-07-22,user78@example.com,"{""key"": ""value78"", ""priority"": ""high""}"
80,1,4,Sample Title 79,This is a sample description for item 79.,"{tag4,tag9}","{6,15}",2.3,POINT(-154.48619626448007 -22.350246107067605),2000-01-03,user79@example.com,"{""key"": ""value79"", ""priority"": ""high""}"
81,1,3,Sample Title 80,This is a sample description for item 80.,"{tag1,tag6}","{9,14}",1.1,POINT(-147.76980735878973 70.8202419118681),1990-08-30,user80@example.com,"{""key"": ""value80"", ""priority"": ""high""}"
82,0,7,Sample Title 81,This is a sample description for item 81.,"{tag5,tag6}","{1,16}",2.3,POINT(94.13968775895762 79.07106001644271),2005-03-29,user81@example.com,"{""key"": ""value81"", ""priority"": ""high""}"
83,0,6,Sample Title 82,This is a sample description for item 82.,"{tag5,tag8}","{10,15}",1.3,POINT(36.618789594851904 42.421354831813176),1992-12-06,user82@example.com,"{""key"": ""value82"", ""priority"": ""low""}"
84,1,1,Sample Title 83,This is a sample description for item 83.,"{tag2,tag10}","{3,20}",2.7,POINT(-89.63970543955281 -35.90601761353948),1977-12-14,user83@example.com,"{""key"": ""value83"", ""priority"": ""high""}"
85,1,8,Sample Title 84,This is a sample description for item 84.,"{tag3,tag7}","{2,16}",2.5,POINT(111.26200066731172 -78.52522238059157),1989-12-28,user84@example.com,"{""key"": ""value84"", ""priority"": ""low""}"
86,0,9,Sample Title 85,This is a sample description for item 85.,"{tag1,tag6}","{6,18}",3.5,POINT(-7.643431869457999 81.2782991886555),1983-11-07,user85@example.com,"{""key"": ""value85"", ""priority"": ""low""}"
87,1,7,Sample Title 86,This is a sample description for item 86.,"{tag2,tag7}","{7,16}",2.3,POINT(139.93062235537082 46.97922704732292),1995-12-30,user86@example.com,"{""key"": ""value86"", ""priority"": ""high""}"
88,0,9,Sample Title 87,This is a sample description for item 87.,"{tag1,tag6}","{8,18}",1.3,POINT(71.80710718870702 -51.70670136453258),1992-10-19,user87@example.com,"{""key"": ""value87"", ""priority"": ""high""}"
89,1,3,Sample Title 88,This is a sample description for item 88.,"{tag5,tag7}","{8,17}",3.4,POINT(147.3385876368053 52.79362409280478),1981-03-28,user88@example.com,"{""key"": ""value88"", ""priority"": ""high""}"
90,1,10,Sample Title 89,This is a sample description for item 89.,"{tag3,tag10}","{8,18}",2.6,POINT(118.19303002880486 -26.717024119394793),1996-03-01,user89@example.com,"{""key"": ""value89"", ""priority"": ""high""}"
91,1,2,Sample Title 90,This is a sample description for item 90.,"{tag2,tag7}","{8,15}",1.1,POINT(-58.56641033787474 -36.79081723732502),1995-09-20,user90@example.com,"{""key"": ""value90"", ""priority"": ""high""}"
92,1,8,Sample Title 91,This is a sample description for item 91.,"{tag4,tag8}","{10,11}",2.5,POINT(-12.892710290070056 54.102466750126666),2006-03-25,user91@example.com,"{""key"": ""value91"", ""priority"": ""high""}"
93,0,4,Sample Title 92,This is a sample description for item 92.,"{tag4,tag7}","{9,17}",4.5,POINT(3.429978537697565 39.7211546236278),2005-07-28,user92@example.com,"{""key"": ""value92"", ""priority"": ""low""}"
94,1,5,Sample Title 93,This is a sample description for item 93.,"{tag2,tag7}","{6,16}",2.2,POINT(-84.8732767744342 10.133358698169147),1986-10-08,user93@example.com,"{""key"": ""value93"", ""priority"": ""low""}"
95,0,8,Sample Title 94,This is a sample description for item 94.,"{tag4,tag7}","{8,19}",4.0,POINT(-54.85999152748687 -54.477613962798934),1999-02-15,user94@example.com,"{""key"": ""value94"", ""priority"": ""low""}"
96,0,10,Sample Title 95,This is a sample description for item 95.,"{tag2,tag9}","{5,15}",1.6,POINT(-16.85775742744022 28.329470731118803),1995-07-25,user95@example.com,"{""key"": ""value95"", ""priority"": ""low""}"
97,0,10,Sample Title 96,This is a sample description for item 96.,"{tag3,tag7}","{1,13}",3.5,POINT(-86.67878489466372 50.445961686738315),1988-06-07,user96@example.com,"{""key"": ""value96"", ""priority"": ""high""}"
98,0,4,Sample Title 97,This is a sample description for item 97.,"{tag3,tag7}","{7,11}",1.6,POINT(105.40331052648719 -16.719341277111326),1980-08-15,user97@example.com,"{""key"": ""value97"", ""priority"": ""low""}"
99,1,10,Sample Title 98,This is a sample description for item 98.,"{tag4,tag8}","{10,20}",5.0,POINT(-60.551871804939154 -31.28861216316212),1989-12-29,user98@example.com,"{""key"": ""value98"", ""priority"": ""low""}"
100,1,10,Sample Title 99,This is a sample description for item 99.,"{tag4,tag9}","{5,19}",4.1,POINT(-150.4745022703261 -89.32869892940403),1976-08-07,user99@example.com,"{""key"": ""value99"", ""priority"": ""high""}"
